AUSTRALIAN BUREAU OF STATISTICS  2001 Census of Population and Housing,,,,,,,,,,,,,,,,,,
Australia  7703580.5 sq. Kms,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
B04 AGE BY REGISTERED MARITAL STATUS BY SEX,,,,,,,,,,,,,,,,,,
Persons aged 15 years and over ,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,Married,,,Separated,,,Divorced,,,Widowed,,,Never married,,,Total,,
,Males   ,Females,,Males,Females,,Males,Females,,Males,Females,,Males,Females,,Males,Females,Persons
,,,,,,,,,,,,,,,,,,
15-19 years,"2,043","4,679",,339,442,,355,369,,259,699,,"674,517","641,562",,"677,513","647,751","1,325,264"
20-24 years,"34,216","71,388",,"2,362","5,895",,972,"2,198",,308,543,,"591,461","531,739",,"629,319","611,763","1,241,082"
25-29 years,"186,721","267,371",,"11,682","21,795",,"9,228","17,689",,470,"1,295",,"446,355","356,351",,"654,456","664,501","1,318,957"
30-34 years,"351,046","420,058",,"23,595","35,839",,"30,449","46,753",,898,"2,891",,"282,061","210,641",,"688,049","716,182","1,404,231"
35-39 years,"437,724","478,726",,"31,250","42,957",,"51,168","72,573",,"1,708","5,327",,"181,694","128,506",,"703,544","728,089","1,431,633"
40-44 years,"473,142","495,296",,"36,180","46,202",,"69,739","93,245",,"2,970","9,485",,"123,786","86,610",,"705,817","730,838","1,436,655"
45-49 years,"456,618","461,259",,"35,001","39,080",,"77,139","98,704",,"4,474","14,558",,"78,755","54,259",,"651,987","667,860","1,319,847"
50-54 years,"454,869","438,790",,"31,107","31,337",,"78,415","95,561",,"7,066","23,909",,"52,858","34,573",,"624,315","624,170","1,248,485"
55-59 years,"368,246","338,752",,"20,864","19,825",,"57,910","67,506",,"9,137","33,456",,"33,998","21,041",,"490,155","480,580","970,735"
60-64 years,"302,336","269,901",,"14,598","13,077",,"40,551","45,770",,"12,389","50,382",,"24,757","15,246",,"394,631","394,376","789,007"
65-69 years,"247,992","212,721",,"10,273","8,613",,"27,047","30,884",,"17,496","73,192",,"20,093","12,276",,"322,901","337,686","660,587"
70-74 years,"219,578","173,372",,"7,633","6,071",,"19,403","22,534",,"27,623","112,220",,"18,399","12,750",,"292,636","326,947","619,583"
75-79 years,"158,263","114,967",,"4,533","3,442",,"10,878","14,318",,"33,813","139,975",,"12,553","11,912",,"220,040","284,614","504,654"
80-84 years,"81,447","52,140",,"2,178","1,638",,"4,616","7,024",,"30,323","127,727",,"6,768","9,504",,"125,332","198,033","323,365"
85 years and over,"40,603","21,683",,"1,213",902,,"2,260","4,133",,"32,573","142,738",,"5,200","11,384",,"81,849","180,840","262,689"
Overseas visitors,"35,405","34,547",,"1,378","1,227",,"3,338","4,276",,"1,586","5,658",,"43,128","51,022",,"84,835","96,730","181,565"
,,,,,,,,,,,,,,,,,,
Total,"3,850,249","3,855,650",,"234,186","278,342",,"483,468","623,537",,"183,093","744,055",,"2,596,383","2,189,376",,"7,347,379","7,690,960","15,038,339"
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
