AUSTRALIAN BUREAU OF STATISTICS  2006 Census of Population and Housing,,,,,,List of tables,,,,,,,,,,
Australia (0) 7759538.2 sq. Kms,,,,,,Concepts and Definitions,,,,,,,,,,
,,,,,,Census Dictionary,,,,,,,,,,
B05 REGISTERED MARITAL STATUS BY AGE BY SEX,,,,,,Census Data Quality Statement,,,,,,,,,,
Count of persons aged 15 years and over ,,,,,,© Commonwealth of Australia 2007,,,,,,,,,,
Based on place of usual residence,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,Married(a),Separated,Divorced,Widowed,Never married,Total,,,,,,,,,,
,MALES,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
15-19 years,"1,772",407,544,297,"692,779","695,799",,,,,,,,,,
20-24 years,"28,385","1,705","1,054",430,"650,082","681,656",,,,,,,,,,
25-34 years,"483,213","23,825","29,556","1,287","783,176","1,321,057",,,,,,,,,,
35-44 years,"879,627","55,379","116,897","4,008","381,334","1,437,245",,,,,,,,,,
45-54 years,"911,200","66,048","178,089","11,036","193,708","1,360,081",,,,,,,,,,
55-64 years,"794,367","46,136","147,917","22,887","84,826","1,096,133",,,,,,,,,,
65-74 years,"501,072","21,587","65,566","39,523","40,695","668,443",,,,,,,,,,
75-84 years,"289,456","8,946","23,804","67,473","22,781","412,460",,,,,,,,,,
85 years and over,"55,290","1,567","3,448","39,041","5,699","105,045",,,,,,,,,,
,,,,,,,,,,,,,,,,
Total,"3,944,382","225,600","566,875","185,982","2,855,080","7,777,919",,,,,,,,,,
,,,,,,,,,,,,,,,,
,FEMALES,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
15-19 years,"3,818",453,462,458,"655,924","661,115",,,,,,,,,,
20-24 years,"62,506","4,370","1,806",736,"596,292","665,710",,,,,,,,,,
25-34 years,"623,346","40,837","51,372","3,562","636,216","1,355,333",,,,,,,,,,
35-44 years,"954,255","78,652","169,116","12,727","285,846","1,500,596",,,,,,,,,,
45-54 years,"924,707","76,019","229,333","35,675","136,697","1,402,431",,,,,,,,,,
55-64 years,"737,734","44,019","175,947","84,360","54,482","1,096,542",,,,,,,,,,
65-74 years,"421,252","17,660","74,986","164,901","26,186","704,985",,,,,,,,,,
75-84 years,"199,212","6,414","30,758","278,340","20,907","535,631",,,,,,,,,,
85 years and over,"29,467","1,032","6,260","170,081","10,974","217,814",,,,,,,,,,
,,,,,,,,,,,,,,,,
Total,"3,956,297","269,456","740,040","750,840","2,423,524","8,140,157",,,,,,,,,,
,,,,,,,,,,,,,,,,
,PERSONS,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
15-19 years,"5,590",860,"1,006",755,"1,348,703","1,356,914",,,,,,,,,,
20-24 years,"90,891","6,075","2,860","1,166","1,246,374","1,347,366",,,,,,,,,,
25-34 years,"1,106,559","64,662","80,928","4,849","1,419,392","2,676,390",,,,,,,,,,
35-44 years,"1,833,882","134,031","286,013","16,735","667,180","2,937,841",,,,,,,,,,
45-54 years,"1,835,907","142,067","407,422","46,711","330,405","2,762,512",,,,,,,,,,
55-64 years,"1,532,101","90,155","323,864","107,247","139,308","2,192,675",,,,,,,,,,
65-74 years,"922,324","39,247","140,552","204,424","66,881","1,373,428",,,,,,,,,,
75-84 years,"488,668","15,360","54,562","345,813","43,688","948,091",,,,,,,,,,
85 years and over,"84,757","2,599","9,708","209,122","16,673","322,859",,,,,,,,,,
,,,,,,,,,,,,,,,,
Total,"7,900,679","495,056","1,306,915","936,822","5,278,604","15,918,076",,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
(a) Excludes de facto marriages. ,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
